2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49586 for id: {ABF503CF-C357-4A68-B3F2-03551FE38D14}
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49587
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49587 for id: {ABF503CF-C357-4A68-B3F2-03551FE38D14}
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49588
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49588 for id: {ABF503CF-C357-4A68-B3F2-03551FE38D14}
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49589
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49589 for id: {ABF503CF-C357-4A68-B3F2-03551FE38D14}
2022-09-08 19:58:48; INFO; GameBoxPlugIn; 5228; 984] class CAEFPluginSample::LogWriteLine GetThirdPartyLibPath: Path = C:\ProgramData\ASUS\GamingCenterLib\
2022-09-08 19:58:48; INFO; GameBoxPlugIn; 5228; 984] class CAEFPluginSample::LogWriteLine CreateThirdPartyLibPath: Result = Success
2022-09-08 19:58:48; INFO; GameBoxPlugIn; 5228; 984] class CAEFPluginSample::LogWriteLine GetThirdPartyLibPath: Path = C:\ProgramData\ASUS\GamingCenterLib\
2022-09-08 19:58:48; WARNING; GameBoxPlugIn; 5228; 984] class CAEFPluginSample::LogWriteLine GetThirdPartyList: Invalid Handle Value, Error = 0x2
2022-09-08 19:58:48; INFO; GameBoxPlugIn; 5228; 984] CallLibrary Start
2022-09-08 19:58:48; INFO; GameBoxPlugIn; 5228; 984] CallLibrary End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] (207)GameBoxPlugIn into AddChildLibrary OK
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] StartRunning, Name: GameLibrary Pluing, RunningThread 0000000000000A6C
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] ---Started to run library GameLibrary Pluing OK---
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 3384] Before Library GameLibrary Pluing into AddChildLibrary
2022-09-08 19:58:48; INFO; GameLibrary Pluing; 5228; 3384] CallLibrary Start
2022-09-08 19:58:48; INFO; GameLibrary Pluing; 5228; 3384] CallLibrary End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 3384] (0)GameLibrary Pluing into AddChildLibrary OK
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
2022-09-08 19:58:48; INFO; GameLibrary Pluing; 5228; 9556] [GameLibraryPlugin] (WaitableTimerNotify) Startup
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] StartRunning, Name: DeviceServicePlugin, RunningThread 0000000000000B00
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] ---Started to run library DeviceServicePlugin OK---
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 24016] Before Library DeviceServicePlugin into AddChildLibrary
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 24016] (18)DeviceServicePlugin into AddChildLibrary OK
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] StartRunning, Name: ACStore Plugin, RunningThread 0000000000000B18
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] ---Started to run library ACStore Plugin OK---
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 11136] Before Library ACStore Plugin into AddChildLibrary
2022-09-08 19:58:48; WARNING; ACStore Plugin; 5228; 11136] RegQueryUserInfoVals: Error reading user uuid: 2.
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 11136] (0)ACStore Plugin into AddChildLibrary OK
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
